Speed,LapDistPct,Lat,Lon,Brake,Throttle,RPM,SteeringWheelAngle,Gear,Clutch,ABSActive,DRSActive,LatAccel,LongAccel,VertAccel,Yaw,YawRate,PositionType
67.298805,0.014338406,52.389511943603296,4.541143879384474,0,1,7583.6377,-0.036403414,6,1,false,false,-0.74502116,0.8140744,10.351349,-0.006568423,-0.012841941,3
67.313896,0.014605081,52.38952128986183,4.541150341744559,0,1,7604.5913,-0.03366649,6,1,false,false,-0.9484601,0.8074068,8.800526,-0.0067836246,-0.012976675,3
67.33093,0.014871822,52.38953054616549,4.541156657090211,0,1,7614.769,-0.032298017,6,1,false,false,-0.7249332,0.96202815,9.950108,-0.006987939,-0.012275564,3
67.348145,0.015138628,52.38953989242403,4.541163119450296,0,1,7605.879,-0.03229801,6,1,false,false,-0.72779477,0.9507804,8.6066,-0.007187689,-0.012709762,3
67.36588,0.015405507,52.38954914872768,4.5411694350200555,0,1,7618.3022,-0.033118945,6,1,false,false,-1.0418296,0.95979846,9.546361,-0.0073969346,-0.012849475,3
67.38347,0.015672453,52.38955849471197,4.541175897380141,0,1,7627.53,-0.035856627,6,1,false,false,-0.7067826,0.92035717,9.054415,-0.007595886,-0.011806451,3
67.40159,0.015939469,52.38956775101562,4.541182212725793,0,1,7620.136,-0.03831942,6,1,false,false,-0.96995527,1.0387151,9.298188,-0.0077939928,-0.012697888,3
67.420166,0.01620656,52.38957709727416,4.541188675085879,0,1,7623.456,-0.04078297,6,1,false,false,-1.0814974,0.9712031,9.5491,-0.007996773,-0.01213227,3
67.43783,0.01647372,52.38958644353271,4.5411949904315305,0,1,7630.817,-0.04269823,6,1,false,false,-0.8607202,0.91334414,9.71726,-0.008194307,-0.012827912,3
67.455154,0.016740948,52.389595699836356,4.541201452791616,0,1,7634.2397,-0.043245755,6,1,false,false,-1.1228069,0.9838257,9.011494,-0.008412107,-0.014011083,3
67.47468,0.017008249,52.3896050460949,4.541207915151701,0,1,7637.0327,-0.04351991,6,1,false,false,-1.0592197,1.1206598,10.04053,-0.008637816,-0.014123056,3
67.49378,0.01727563,52.38961430239855,4.541214230721461,0,1,7629.944,-0.042698223,6,1,false,false,-1.0058217,0.95529234,9.611378,-0.008872438,-0.015221249,3
67.512085,0.017543083,52.389623648382845,4.541220692857439,0,1,7633.994,-0.03996128,6,1,false,false,-0.9913806,1.0607778,8.913739,-0.009119423,-0.015506569,3
67.531395,0.017810607,52.38963299464139,4.541227155217524,0,1,7640.933,-0.036950953,6,1,false,false,-0.83613074,1.0781372,10.94358,-0.009371151,-0.01569778,3
67.55013,0.018078208,52.38964225094504,4.541233470787284,0,1,7630.9673,-0.03366648,6,1,false,false,-1.0130421,0.9964042,10.104302,-0.009629466,-0.017015234,3
67.5697,0.01834588,52.38965159720358,4.541239933147369,0,1,7638.381,-0.030107856,6,1,false,false,-1.2130373,1.0776825,11.671404,-0.009902623,-0.017799,3
67.589134,0.01861363,52.389660943462125,4.5412463952833475,0,1,7638.4927,-0.028466752,6,1,false,false,-1.3305097,0.9964231,11.809942,-0.010173538,-0.017209603,3
67.6078,0.018881457,52.389670289446414,4.541252857643433,0,1,7617.226,-0.028192606,6,1,false,false,-1.2937245,0.95452845,10.190182,-0.010429242,-0.016057082,3
67.625984,0.019149354,52.38967963570496,4.541259320003519,0,1,7618.4185,-0.02874014,6,1,false,false,-1.2006469,0.8661686,9.946674,-0.010665589,-0.014003759,3
